nationality,age,dayssincecreation,averageleadtime,lodgingrevenue,otherrevenue,bookingscanceled,bookingsnoshowed,bookingscheckedin,personsnights,roomnights,dayssincelaststay,dayssincefirststay,distributionchannel,marketsegment,srhighfloor,srlowfloor,sraccessibleroom,srmediumfloor,srbathtub,srshower,srcrib,srkingsizebed,srtwinbed,srnearelevator,srawayfromelevator,srnoalcoholinminibar,srquietroom,total_revenue,total_bookings,revenue_per_night
PRT,51,150,45,371.0,105.3,1,0,3,8,5,151,1074,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,476.3,4,74.2
PRT,45,1095,61,280.0,53.0,0,0,1,10,5,1100,1100,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,333.0,1,56.0
DEU,31,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
FRA,60,1095,93,240.0,60.0,0,0,1,10,5,1100,1100,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,300.0,1,48.0
FRA,51,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
JPN,54,1095,58,230.0,24.0,0,0,1,4,2,1097,1097,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,254.0,1,115.0
JPN,49,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
FRA,32,1095,38,535.0,94.0,0,0,1,10,5,1100,1100,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,629.0,1,107.0
FRA,42,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
IRL,25,1095,96,174.0,69.0,0,0,1,6,3,1098,1098,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,243.0,1,58.0
IRL,27,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
FRA,58,1095,60,292.0,81.0,0,0,1,10,5,1100,1100,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,373.0,1,58.4
FRA,56,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
ESP,42,1095,87,327.7,48.0,0,0,1,8,4,1099,1099,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,375.7,1,81.925
ESP,57,1095,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
FRA,68,1095,11,437.0,36.0,0,0,1,6,3,1098,1098,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,473.0,1,145.66666666666666
FRA,72,1095,11,455.0,18.0,0,0,1,3,3,1098,1098,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,473.0,1,151.66666666666666
FRA,71,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
FRA,24,1095,109,174.0,36.0,0,0,1,8,4,1099,1099,Travel Agent/Operator,Travel Agent/Operator,1,0,0,0,0,0,0,1,0,0,0,0,0,210.0,1,43.5
FRA,26,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
PRT,45,1095,63,224.0,156.0,0,0,1,4,2,1097,1097,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,380.0,1,112.0
BEL,50,1095,2,348.12,66.0,0,0,1,8,4,1099,1099,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,414.12,1,87.03
NLD,52,1095,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
